Layer,Name,GEOID,Population,Longitude,Latitude,CHABXHK_2023-2024,CHAKNKC_2023,CHARIPZ_2023-2024,CHASBQJ_2023-2024,CHASWYW_2023-2024,CHAVCNN_2023,HCSNL_2023-2024,HCSNLP_2023-2024,PMC_2020,TRF_2020,LNG_2023,HCSOB_2023-2024,HCSHYT_2023-2024,HCSDIA_2023-2024,HCSATH_2023-2024,PCT-W_2020-2024,POP_2020-2024
Community area,Uptown,3,55120,-87.655899,41.965822,34.24198044,0,31600,65.99840429,16400,0,24600,51.35762097,8.837164467,427.1309401,5.149490611,12200,18800,4300,5500,51.59389339,54490.99263
Community area,South Lawndale,30,71402,-87.714,41.839091,31.39666016,71204.63897,14800,26.42618664,17600,100,8800,15.56991369,9.425200393,172.868618,5.578877021,24400,11100,8500,5000,5.857043343,69830.03688
Community area,Lower West Side,31,33716,-87.66757,41.850277,25.88643115,8279.786084,7100,31.2221479,5900,24.72275036,7500,32.73764431,9.319188898,566.758192,4.038092761,6400,6400,2500,1000,21.65363752,33412.04159
Community area,Loop,32,43440,-87.625194,41.878881,42.89711402,0,23400,58.53140514,17200,0,25000,62.45265906,9.141709164,1217.430496,2.681616216,5800,8500,,3200,49.76416139,43756.84988
Community area,Near South Side,33,27296,-87.620344,41.857196,40.18534879,0,13100,62.45464229,8400,0,12500,59.18701956,9.214116698,1339.205363,2.822021414,3800,6100,900,1900,42.51328841,28903.9369
Community area,Armour Square,34,13847,-87.633976,41.842083,44.62543692,10009.0516,4700,41.07847744,5100,72.96617804,5300,46.19395548,9.281540376,2835.070526,7.981990167,1400,3800,1900,500,13.57796306,13821.73562
Community area,Douglas,35,20292,-87.61868,41.835122,44.44300746,2899.154346,8700,62.68871041,6100,14.29718964,5800,42.14489418,9.272382927,452.439409,6.759431548,4900,4100,2300,1100,10.27529067,21090.85064
Community area,Oakland,36,6803,-87.603217,41.823754,22.70696566,0,2400,51.47176462,1100,0,1800,38.37252415,9.26294829,576.6991016,8.588087918,2100,2100,600,800,5.325818843,6940.063702
Community area,Fuller Park,37,2549,-87.632427,41.809082,53.0659281,2467.489021,1500,33.78642168,2200,100,1200,26.7424887,9.376566955,3403.192039,16.07751152,1800,1800,700,800,3.365359213,2340.517806
Community area,Grand Boulevard,38,24586,-87.61786,41.812947,26.93051209,3944.2676,6700,47.71567539,3800,16.04802478,5000,36.05072023,9.333129178,283.6612711,7.067033329,6600,6900,2400,400,5.591924649,25177.24906
Community area,Kenwood,39,19126,-87.596186,41.808918,44.40318296,0,7800,61.1983717,5700,0,6300,49.33475534,9.288214701,295.8697819,5.897384785,3100,5000,1100,2100,20.51567217,18427.5253
Community area,Lincoln Square,4,40412,-87.687513,41.975182,40.14052913,0,21700,72.26827268,12100,0,19200,63.94867389,8.869243712,175.1809264,3.920477571,7400,7000,2300,1400,62.07865144,41565.11288
Community area,Washington Park,40,12709,-87.617936,41.792356,27.51455114,0,2200,24.88556071,2300,0,1100,12.77638522,9.391484314,202.2762998,9.868164923,4500,2800,1000,1400,1.973440074,12314.66841
Community area,Hyde Park,41,29459,-87.592305,41.794088,50.95313742,0,17100,67.30996813,12800,0,13200,52.08850934,9.321356874,162.4256167,3.837587106,5700,5900,,2600,40.77607507,30600.29144
Community area,Woodlawn,42,25285,-87.594924,41.778877,33.46172661,0,7800,47.56048909,5400,0,5900,36.01651704,9.377276278,127.7045338,8.740740192,5700,5100,2600,2700,10.61861696,24802.5642
Community area,South Shore,43,51919,-87.57279,41.761583,30.82635347,6716,12500,37.8831536,10000,13.00884007,9200,27.88793494,9.370737111,137.3302182,8.704312203,11900,13400,5200,5300,3.323755081,51377.59421
Community area,Chatham,44,31804,-87.615965,41.740206,27.27504608,21551.68843,8700,39.02568057,6100,68.14238343,6900,31.13272571,9.534267043,608.9878264,8.225734762,9400,10100,3200,4100,1.163842639,30021.41506
Community area,Avalon Park,45,9359,-87.586347,41.744197,24.48772673,6082.360786,5300,59.51235132,2100,65.17232176,3200,35.94032056,9.461018949,166.2810313,7.357354029,3800,3500,900,800,0.01281431,8939.367648
Community area,South Chicago,46,27254,-87.551435,41.741243,47.30398463,4270.974622,12000,36.08126421,16000,15.67486013,10600,31.65760815,9.369249388,69.44439978,8.937021799,14200,11500,5100,5000,4.930347621,27507.14761
Community area,Burnside,47,2514,-87.59647,41.728181,45.47015914,2508.127859,1900,38.9275755,2100,100,2200,45.1916986,9.529792157,46.79352651,9.897832701,2000,1900,1400,400,0.001949472,2292.961299
Community area,Calumet Heights,48,13085,-87.57272,41.729673,37.55185557,0,3200,37.9631532,3200,0,4400,51.53289312,9.467882647,124.5602496,6.621387315,4200,4400,2400,800,0.240362481,11227.30847
Community area,Roseland,49,38934,-87.623366,41.706588,29.22899543,29247.24459,10800,35.24441615,8900,75.36263171,11900,39.15522384,9.623683438,566.998442,8.877012504,17700,13800,6100,4600,2.033164372,36745.38199
